"State","Year","poverty_rate"
"Utah",2017,"8.6"
"Vermont",2017,"10.199999999999999"
"Virginia",2017,"10.3"
"Washington",2017,"9.9"
"West Virginia",2017,"17.3"
"Wisconsin",2017,"9.5"
"Wyoming",2017,"12.4"
"Alabama",2016,"16.2"
"Alaska",2016,"12.6"
"Arizona",2016,"16.100000000000001"
"Arkansas",2016,"16"
"California",2016,"13.9"
"Colorado",2016,"8.5"
"Connecticut",2016,"9.8000000000000007"
"Delaware",2016,"11.6"
"District of Columbia",2016,"16.3"
"Florida",2016,"13"
"Georgia",2016,"15.4"
"Hawaii",2016,"9.3000000000000007"
"Idaho",2016,"11.1"
"Illinois",2016,"12.1"
"Indiana",2016,"11.8"
"Iowa",2016,"9.8000000000000007"
"Kansas",2016,"11.2"
"Kentucky",2016,"15.2"
"Louisiana",2016,"20.2"
"Maine",2016,"12.7"
"Maryland",2016,"7.1"
"Massachusetts",2016,"9.6"
"Michigan",2016,"11.1"
"Minnesota",2016,"8.6999999999999993"
"Mississippi",2016,"21.1"
"Missouri",2016,"13"
"Montana",2016,"11.7"
"Nebraska",2016,"9.6"
"Nevada",2016,"10.1"
"New Hampshire",2016,"6.4"
"New Jersey",2016,"9.4"
"New Mexico",2016,"17.8"
"New York",2016,"11.9"
"North Carolina",2016,"13.6"
"North Dakota",2016,"11.1"
"Ohio",2016,"13.7"
"Oklahoma",2016,"14.6"
"Oregon",2016,"11.8"
"Pennsylvania",2016,"11.1"
"Rhode Island",2016,"11.4"
"South Carolina",2016,"14.1"
"South Dakota",2016,"14.5"
"Tennessee",2016,"14.9"
"Texas",2016,"13.8"
"Utah",2016,"8.6"
"Vermont",2016,"9.6"
"Virginia",2016,"11.4"
"Washington",2016,"11"
"West Virginia",2016,"18"
"Wisconsin",2016,"10.7"
"Wyoming",2016,"10.9"
"Alabama",2015,"16.3"
"Alaska",2015,"9.1999999999999993"
"Arizona",2015,"17.2"
"Arkansas",2015,"16.100000000000001"
"California",2015,"13.9"
"Colorado",2015,"9.9"
"Connecticut",2015,"9.1"
"Delaware",2015,"11.1"
"District of Columbia",2015,"16.600000000000001"
"Florida",2015,"16.2"
"Georgia",2015,"18.100000000000001"
"Hawaii",2015,"10.9"
"Idaho",2015,"12.3"
"Illinois",2015,"10.9"
"Indiana",2015,"13.5"
"Iowa",2015,"10.4"
"Kansas",2015,"14.2"
"Kentucky",2015,"19.5"
"Louisiana",2015,"18.600000000000001"
"Maine",2015,"12.3"
"Maryland",2015,"9.6"
"Massachusetts",2015,"11.5"
"Michigan",2015,"12.8"
"Minnesota",2015,"7.8"
"Mississippi",2015,"19.100000000000001"
"Missouri",2015,"9.8000000000000007"
"Montana",2015,"11.9"
"Nebraska",2015,"10.3"
"Nevada",2015,"13"
"New Hampshire",2015,"7.3"
"New Jersey",2015,"11.2"
"New Mexico",2015,"19.7"
"New York",2015,"14.2"
"North Carolina",2015,"15.3"
"North Dakota",2015,"10.7"
"Ohio",2015,"13.6"
"Oklahoma",2015,"14.2"
"Oregon",2015,"11.9"
"Pennsylvania",2015,"12.3"
"Rhode Island",2015,"11.8"
"South Carolina",2015,"14.3"
"South Dakota",2015,"13.9"
"Tennessee",2015,"14.7"
"Texas",2015,"14.7"
"Utah",2015,"9.3000000000000007"
"Vermont",2015,"10.7"
"Virginia",2015,"10.9"
"Washington",2015,"11.4"
"West Virginia",2015,"14.5"
"Wisconsin",2015,"11.4"
"Wyoming",2015,"9.8000000000000007"
"Alabama",2014,"17.8"
"Alaska",2014,"11.9"
"Arizona",2014,"21.2"
"Arkansas",2014,"18.399999999999999"
"California",2014,"15.8"
"Colorado",2014,"12.3"
"Connecticut",2014,"8.6"
"Delaware",2014,"11"
"District of Columbia",2014,"19"
"Florida",2014,"16.7"
"Georgia",2014,"16.8"
"Hawaii",2014,"10.8"
"Idaho",2014,"12.4"
"Illinois",2014,"13.7"
"Indiana",2014,"14.6"
"Iowa",2014,"10.3"
"Kansas",2014,"12.1"
"Kentucky",2014,"20"
"Louisiana",2014,"23.1"
"Maine",2014,"14.6"
"Maryland",2014,"9.8000000000000007"
"Massachusetts",2014,"13.6"
"Michigan",2014,"14.8"
"Minnesota",2014,"8.3000000000000007"
"Mississippi",2014,"22.1"
"Missouri",2014,"10.4"
"Montana",2014,"12"
"Nebraska",2014,"11.8"
"Nevada",2014,"17"
"New Hampshire",2014,"7.2"
"New Jersey",2014,"11.3"
"New Mexico",2014,"20"
"New York",2014,"14"
"North Carolina",2014,"17.100000000000001"
"North Dakota",2014,"9.6999999999999993"
"Ohio",2014,"15.6"
"Oklahoma",2014,"17.3"
"Oregon",2014,"14.4"
"Pennsylvania",2014,"12.5"
"Rhode Island",2014,"11.3"
"South Carolina",2014,"16.5"
"South Dakota",2014,"12.8"
"Tennessee",2014,"17.3"
"Texas",2014,"16.399999999999999"
"Utah",2014,"10.199999999999999"
"Vermont",2014,"9.3000000000000007"
"Virginia",2014,"10.199999999999999"
"Washington",2014,"12"
"West Virginia",2014,"20.6"
"Wisconsin",2014,"10.9"
"Wyoming",2014,"9.6999999999999993"
"Alabama",2013,"16.7"
"Alaska",2013,"10.9"
"Arizona",2013,"20.2"
"Arkansas",2013,"17.100000000000001"
"California",2013,"14.9"
"Colorado",2013,"10.6"
"Connecticut",2013,"11.3"
"Delaware",2013,"14"
"District of Columbia",2013,"21.3"
"Florida",2013,"14.9"
"Georgia",2013,"16.3"
"Hawaii",2013,"11.1"
"Idaho",2013,"12.9"
"Illinois",2013,"13.3"
"Indiana",2013,"11.6"
"Iowa",2013,"10.8"
"Kansas",2013,"13.2"
"Kentucky",2013,"20"
"Louisiana",2013,"19.2"
"Maine",2013,"12.3"
"Maryland",2013,"10.3"
"Massachusetts",2013,"11.9"
"Michigan",2013,"14.5"
"Minnesota",2013,"12"
"Mississippi",2013,"22.5"
"Missouri",2013,"13.7"
"Montana",2013,"14.5"
"Nebraska",2013,"11"
"Nevada",2013,"17.399999999999999"
"New Hampshire",2013,"9"
"New Jersey",2013,"11.1"
"New Mexico",2013,"21.7"
"New York",2013,"14.5"
"North Carolina",2013,"18.600000000000001"
"North Dakota",2013,"9.9"
"Ohio",2013,"13.7"
"Oklahoma",2013,"14"
"Oregon",2013,"15.1"
"Pennsylvania",2013,"12.4"
"Rhode Island",2013,"13.5"
"South Carolina",2013,"15.9"
"South Dakota",2013,"10.3"
"Tennessee",2013,"18.100000000000001"
"Texas",2013,"16.8"
"Utah",2013,"8.3000000000000007"
"Vermont",2013,"8.6999999999999993"
"Virginia",2013,"10.4"
"Washington",2013,"12"
"West Virginia",2013,"17.3"
"Wisconsin",2013,"11"
"Wyoming",2013,"11.8"
"Alabama",2012,"16.2"
"Alaska",2012,"10"
"Arizona",2012,"19"
"Arkansas",2012,"20.100000000000001"
"California",2012,"15.9"
"Colorado",2012,"11.9"
"Connecticut",2012,"10.3"
"Delaware",2012,"13.5"
"District of Columbia",2012,"18.399999999999999"
"Florida",2012,"15.3"
"Georgia",2012,"18.100000000000001"
"Hawaii",2012,"13.8"
"Idaho",2012,"14.4"
"Illinois",2012,"12.6"
"Indiana",2012,"15.2"
"Iowa",2012,"10.3"
"Kansas",2012,"14"
"Kentucky",2012,"17.899999999999999"
"Louisiana",2012,"21.1"
"Maine",2012,"12.8"
"Maryland",2012,"9.9"
"Massachusetts",2012,"11.3"
"Michigan",2012,"13.7"
"Minnesota",2012,"10"
"Mississippi",2012,"22"
"Missouri",2012,"15.2"
"Montana",2012,"13.4"
"Nebraska",2012,"12.2"
"Nevada",2012,"15.8"
"New Hampshire",2012,"8.1"
"New Jersey",2012,"9.3000000000000007"
"New Mexico",2012,"20.399999999999999"
"New York",2012,"17.2"
"North Carolina",2012,"17.2"
"North Dakota",2012,"11.4"
"Ohio",2012,"15.4"
"Oklahoma",2012,"18"
"Oregon",2012,"13.5"
"Pennsylvania",2012,"13.9"
"Rhode Island",2012,"13.6"
"South Carolina",2012,"16.7"
"South Dakota",2012,"12.8"
"Tennessee",2012,"18.600000000000001"
"Texas",2012,"17"
"Utah",2012,"11"
"Vermont",2012,"11.2"
"Virginia",2012,"10.6"
"Washington",2012,"11.6"
"West Virginia",2012,"16.7"
"Wisconsin",2012,"11.4"
"Wyoming",2012,"9.6"
"Alabama",2011,"15.4"
"Alaska",2011,"11.7"
"Arizona",2011,"17.2"
"Arkansas",2011,"18.7"
"California",2011,"16.899999999999999"
"Colorado",2011,"13.2"
"Connecticut",2011,"10.1"
"Delaware",2011,"13.7"
"District of Columbia",2011,"19.899999999999999"
"Florida",2011,"14.9"
"Georgia",2011,"18.399999999999999"
"Hawaii",2011,"12.1"
"Idaho",2011,"15.7"
"Illinois",2011,"14.2"
"Indiana",2011,"15.6"
"Iowa",2011,"10.4"
"Kansas",2011,"14.3"
"Kentucky",2011,"16"
"Louisiana",2011,"21.1"
"Maine",2011,"13.4"
"Maryland",2011,"9.3000000000000007"
"Massachusetts",2011,"10.6"
"Michigan",2011,"15"
"Minnesota",2011,"10"
"Mississippi",2011,"17.399999999999999"
"Missouri",2011,"15.4"
"Montana",2011,"16.5"
"Nebraska",2011,"10.199999999999999"
"Nevada",2011,"15.5"
"New Hampshire",2011,"7.6"
"New Jersey",2011,"11.4"
"New Mexico",2011,"22.2"
"New York",2011,"16"
"North Carolina",2011,"15.4"
"North Dakota",2011,"9.9"
"Ohio",2011,"15.1"
"Oklahoma",2011,"13.9"
"Oregon",2011,"14.4"
"Pennsylvania",2011,"12.6"
"Rhode Island",2011,"13.4"
"South Carolina",2011,"19"
"South Dakota",2011,"14.5"
"Tennessee",2011,"16.3"
"Texas",2011,"17.399999999999999"
"Utah",2011,"11"
"Vermont",2011,"11.6"
"Virginia",2011,"11.4"
"Washington",2011,"12.5"
"West Virginia",2011,"17.5"
"Wisconsin",2011,"13.1"
"Wyoming",2011,"10.7"
"Alabama",2010,"17.2"
"Alaska",2010,"12.5"
"Arizona",2010,"18.8"
"Arkansas",2010,"15.3"
"California",2010,"16.3"
"Colorado",2010,"12.3"
"Connecticut",2010,"8.6"
"Delaware",2010,"12.2"
"District of Columbia",2010,"19.5"
"Florida",2010,"16"
"Georgia",2010,"18.8"
"Hawaii",2010,"12.4"
"Idaho",2010,"13.8"
"Illinois",2010,"14.1"
"Indiana",2010,"16.3"
"Iowa",2010,"10.3"
"Kansas",2010,"14.5"
"Kentucky",2010,"17.7"
"Louisiana",2010,"21.5"
"Maine",2010,"12.6"
"Maryland",2010,"10.9"
"Massachusetts",2010,"10.9"
"Michigan",2010,"15.7"
"Minnesota",2010,"10.8"
"Mississippi",2010,"22.5"
"Missouri",2010,"15"
"Montana",2010,"14.5"
"Nebraska",2010,"10.199999999999999"
"Nevada",2010,"16.600000000000001"
"New Hampshire",2010,"6.5"
"New Jersey",2010,"11.1"
"New Mexico",2010,"18.3"
"New York",2010,"16"
"North Carolina",2010,"17.399999999999999"
"North Dakota",2010,"12.6"
"Ohio",2010,"15.4"
"Oklahoma",2010,"16.3"
"Oregon",2010,"14.3"
"Pennsylvania",2010,"12.2"
"Rhode Island",2010,"14"
"South Carolina",2010,"16.899999999999999"
"South Dakota",2010,"13.6"
"Tennessee",2010,"16.7"
"Texas",2010,"18.399999999999999"
"Utah",2010,"10"
"Vermont",2010,"10.8"
"Virginia",2010,"10.7"
"Washington",2010,"11.6"
"West Virginia",2010,"16.8"
"Wisconsin",2010,"10.1"
"Wyoming",2010,"9.6"
"Alabama",2009,"16.600000000000001"
"Alaska",2009,"11.7"
"Arizona",2009,"21.2"
"Arkansas",2009,"18.899999999999999"
"California",2009,"15.3"
"Colorado",2009,"12.3"
"Connecticut",2009,"8.4"
"Delaware",2009,"12.3"
"District of Columbia",2009,"17.899999999999999"
"Florida",2009,"14.6"
"Georgia",2009,"18.399999999999999"
"Hawaii",2009,"12.5"
"Idaho",2009,"13.7"
"Illinois",2009,"13.2"
"Indiana",2009,"16.100000000000001"
"Iowa",2009,"10.7"
"Kansas",2009,"13.7"
"Kentucky",2009,"17"
"Louisiana",2009,"14.3"
"Maine",2009,"11.4"
"Maryland",2009,"9.6"
"Massachusetts",2009,"10.8"
"Michigan",2009,"14"
"Minnesota",2009,"11.1"
"Mississippi",2009,"23.1"
"Missouri",2009,"15.5"
"Montana",2009,"13.5"
"Nebraska",2009,"9.9"
"Nevada",2009,"13"
"New Hampshire",2009,"7.8"
"New Jersey",2009,"9.3000000000000007"
"New Mexico",2009,"19.3"
"New York",2009,"15.8"
"North Carolina",2009,"16.899999999999999"
"North Dakota",2009,"10.9"
"Ohio",2009,"13.3"
"Oklahoma",2009,"12.9"
"Oregon",2009,"13.4"
"Pennsylvania",2009,"11.1"
"Rhode Island",2009,"13"
"South Carolina",2009,"13.7"
"South Dakota",2009,"14.1"
"Tennessee",2009,"16.5"
"Texas",2009,"17.3"
"Utah",2009,"9.6999999999999993"
"Vermont",2009,"9.4"
"Virginia",2009,"10.7"
"Washington",2009,"11.7"
"West Virginia",2009,"15.8"
"Wisconsin",2009,"10.8"
"Wyoming",2009,"9.1999999999999993"
"Alabama",2008,"14.3"
"Alaska",2008,"8.1999999999999993"
"Arizona",2008,"18"
"Arkansas",2008,"15.3"
"California",2008,"14.6"
"Colorado",2008,"11"
"Connecticut",2008,"8.1"
"Delaware",2008,"9.6"
"District of Columbia",2008,"16.5"
"Florida",2008,"13.1"
"Georgia",2008,"15.5"
"Hawaii",2008,"9.9"
"Idaho",2008,"12.2"
"Illinois",2008,"12.3"
"Indiana",2008,"14.3"
"Iowa",2008,"9.5"
"Kansas",2008,"12.7"
"Kentucky",2008,"17.100000000000001"
"Louisiana",2008,"18.2"
"Maine",2008,"12"
"Maryland",2008,"8.6999999999999993"
"Massachusetts",2008,"11.3"
"Michigan",2008,"13"
"Minnesota",2008,"9.9"
"Mississippi",2008,"18.100000000000001"
"Missouri",2008,"13.3"
"Montana",2008,"12.9"
"Nebraska",2008,"10.6"
"Nevada",2008,"10.8"
"New Hampshire",2008,"7"
"New Jersey",2008,"9.1999999999999993"
"New Mexico",2008,"19.3"
"New York",2008,"14.2"
"North Carolina",2008,"13.9"
"North Dakota",2008,"11.8"
"Ohio",2008,"13.7"
"Oklahoma",2008,"13.6"
"Oregon",2008,"10.6"
"Pennsylvania",2008,"11"
"Rhode Island",2008,"12.7"
"South Carolina",2008,"14"
"South Dakota",2008,"13.1"
"Tennessee",2008,"15"
"Texas",2008,"15.9"
"Utah",2008,"7.6"
"Vermont",2008,"9"
"Virginia",2008,"10.3"
"Washington",2008,"10.4"
"West Virginia",2008,"14.5"
"Wisconsin",2008,"9.8000000000000007"
"Wyoming",2008,"10.1"
"Alabama",2007,"14.5"
"Alaska",2007,"7.6"
"Arizona",2007,"14.3"
"Arkansas",2007,"13.8"
"California",2007,"12.7"
"Colorado",2007,"9.8000000000000007"
"Connecticut",2007,"8.9"
"Delaware",2007,"9.3000000000000007"
"District of Columbia",2007,"18"
"Florida",2007,"12.5"
"Georgia",2007,"13.6"
"Hawaii",2007,"7.5"
"Idaho",2007,"9.9"
"Illinois",2007,"10"
"Indiana",2007,"11.8"
"Iowa",2007,"8.9"
"Kansas",2007,"11.7"
"Kentucky",2007,"15.5"
"Louisiana",2007,"16.100000000000001"
"Maine",2007,"10.9"
"Maryland",2007,"8.8000000000000007"
"Massachusetts",2007,"11.2"
"Michigan",2007,"10.8"
"Minnesota",2007,"9.3000000000000007"
"Mississippi",2007,"22.6"
"Missouri",2007,"12.8"
"Montana",2007,"13"
"Nebraska",2007,"9.9"
"Nevada",2007,"9.6999999999999993"
"New Hampshire",2007,"5.8"
"New Jersey",2007,"8.6999999999999993"
"New Mexico",2007,"14"
"New York",2007,"14.5"
"North Carolina",2007,"15.5"
"North Dakota",2007,"9.3000000000000007"
"Ohio",2007,"12.8"
"Oklahoma",2007,"13.4"
"Oregon",2007,"12.8"
"Pennsylvania",2007,"10.4"
"Rhode Island",2007,"9.5"
"South Carolina",2007,"14.1"
"South Dakota",2007,"9.4"
"Tennessee",2007,"14.8"
"Texas",2007,"16.5"
"Utah",2007,"9.6"
"Vermont",2007,"9.9"
"Virginia",2007,"8.6"
"Washington",2007,"10.199999999999999"
"West Virginia",2007,"14.8"
"Wisconsin",2007,"11"
"Wyoming",2007,"10.9"
"Alabama",2006,"14.3"
"Alaska",2006,"8.9"
"Arizona",2006,"14.4"
"Arkansas",2006,"17.7"
"California",2006,"12.2"
"Colorado",2006,"9.6999999999999993"
"Connecticut",2006,"8"
"Delaware",2006,"9.3000000000000007"
"District of Columbia",2006,"18.3"
"Florida",2006,"11.5"
"Georgia",2006,"12.6"
"Hawaii",2006,"9.1999999999999993"
"Idaho",2006,"9.5"
"Illinois",2006,"10.6"
"Indiana",2006,"10.6"
"Iowa",2006,"10.3"
"Kansas",2006,"12.8"
"Kentucky",2006,"16.8"
"Louisiana",2006,"17"
"Maine",2006,"10.199999999999999"
"Maryland",2006,"8.4"
"Massachusetts",2006,"12"
"Michigan",2006,"13.3"
"Minnesota",2006,"8.1999999999999993"
"Mississippi",2006,"20.6"
"Missouri",2006,"11.4"
"Montana",2006,"13.5"
"Nebraska",2006,"10.199999999999999"
"Nevada",2006,"9.5"
"New Hampshire",2006,"5.4"
"New Jersey",2006,"8.8000000000000007"
"New Mexico",2006,"16.899999999999999"
"New York",2006,"14"
"North Carolina",2006,"13.8"
"North Dakota",2006,"11.4"
"Ohio",2006,"12.1"
"Oklahoma",2006,"15.2"
"Oregon",2006,"11.8"
"Pennsylvania",2006,"11.3"
"Rhode Island",2006,"10.5"
"South Carolina",2006,"11.2"
"South Dakota",2006,"10.7"
"Tennessee",2006,"14.9"
"Texas",2006,"16.399999999999999"
"Utah",2006,"9.3000000000000007"
"Vermont",2006,"7.8"
"Virginia",2006,"8.6"
"Washington",2006,"8"
"West Virginia",2006,"15.3"
"Wisconsin",2006,"10.1"
"Wyoming",2006,"10"
"Alabama",2005,"16.7"
"Alaska",2005,"10"
"Arizona",2005,"15.2"
"Arkansas",2005,"13.8"
"California",2005,"13.2"
"Colorado",2005,"11.4"
"Connecticut",2005,"9.3000000000000007"
"Delaware",2005,"9.1999999999999993"
"District of Columbia",2005,"21.3"
"Florida",2005,"11.1"
"Georgia",2005,"14.4"
"Hawaii",2005,"8.6"
"Idaho",2005,"9.9"
"Illinois",2005,"11.5"
"Indiana",2005,"12.6"
"Iowa",2005,"11.3"
"Kansas",2005,"12.5"
"Kentucky",2005,"14.8"
"Louisiana",2005,"18.3"
"Maine",2005,"12.6"
"Maryland",2005,"9.6999999999999993"
"Massachusetts",2005,"10.1"
"Michigan",2005,"12"
"Minnesota",2005,"8.1"
"Mississippi",2005,"20.100000000000001"
"Missouri",2005,"11.6"
"Montana",2005,"13.8"
"Nebraska",2005,"9.5"
"Nevada",2005,"10.6"
"New Hampshire",2005,"5.6"
"New Jersey",2005,"6.8"
"New Mexico",2005,"17.899999999999999"
"New York",2005,"14.5"
"North Carolina",2005,"13.1"
"North Dakota",2005,"11.2"
"Ohio",2005,"12.3"
"Oklahoma",2005,"15.6"
"Oregon",2005,"12"
"Pennsylvania",2005,"11.2"
"Rhode Island",2005,"12.1"
"South Carolina",2005,"15"
"South Dakota",2005,"11.8"
"Tennessee",2005,"14.9"
"Texas",2005,"16.2"
"Utah",2005,"9.1999999999999993"
"Vermont",2005,"7.6"
"Virginia",2005,"9.1999999999999993"
"Washington",2005,"10.199999999999999"
"West Virginia",2005,"15.4"
"Wisconsin",2005,"10.199999999999999"
"Wyoming",2005,"10.6"
"Alabama",2004,"16.899999999999999"
"Alaska",2004,"9.1"
"Arizona",2004,"14.4"
"Arkansas",2004,"15.1"
"California",2004,"13.2"
"Colorado",2004,"10"
"Connecticut",2004,"10.1"
"Delaware",2004,"9"
"District of Columbia",2004,"17"
"Florida",2004,"11.6"
"Georgia",2004,"13"
"Hawaii",2004,"8.6"
"Idaho",2004,"9.9"
"Illinois",2004,"12.3"
"Indiana",2004,"11.6"
"Iowa",2004,"10.9"
"Kansas",2004,"11.4"
"Kentucky",2004,"17.8"
"Louisiana",2004,"16.8"
"Maine",2004,"11.6"
"Maryland",2004,"9.9"
"Massachusetts",2004,"9.3000000000000007"
"Michigan",2004,"13.3"
"Minnesota",2004,"7"
"Mississippi",2004,"18.7"
"Missouri",2004,"12.2"
"Montana",2004,"14.2"
"Nebraska",2004,"9.5"
"Nevada",2004,"10.9"
"New Hampshire",2004,"5.5"
"New Jersey",2004,"8"
"New Mexico",2004,"16.5"
"New York",2004,"15"
"North Carolina",2004,"14.6"
"North Dakota",2004,"9.6999999999999993"
"Ohio",2004,"11.6"
"Oklahoma",2004,"10.8"
"Oregon",2004,"11.8"
"Pennsylvania",2004,"11.4"
"Rhode Island",2004,"11.5"
"South Carolina",2004,"14.9"
"South Dakota",2004,"13.5"
"Tennessee",2004,"15.9"
"Texas",2004,"16.5"
"Utah",2004,"10.1"
"Vermont",2004,"7.8"
"Virginia",2004,"9.4"
"Washington",2004,"11.4"
"West Virginia",2004,"14.2"
"Wisconsin",2004,"12.4"
"Wyoming",2004,"10"
"Alabama",2003,"15"
"Alaska",2003,"9.6"
"Arizona",2003,"13.5"
"Arkansas",2003,"17.8"
"California",2003,"13.1"
"Colorado",2003,"9.6999999999999993"
"Connecticut",2003,"8.1"
"Delaware",2003,"7.3"
"District of Columbia",2003,"16.8"
"Florida",2003,"12.7"
"Georgia",2003,"11.9"
"Hawaii",2003,"9.3000000000000007"
